,CLUSTER,DIST,DN,GN/LS,HASH,PLAY #,YARD LN
1939,1,5.0,2.0,-43,,7.0,35.0
10022,4,10.0,1.0,-65,,70.0,-20.0
18075,2,10.0,1.0,-38,,191.0,-48.0
22691,1,5.0,2.0,-40,M,170.0,-46.0
29482,0,5.0,3.0,-73,R,28.0,2.0
31988,3,3.0,3.0,-36,R,117.0,-46.0
35026,1,1.0,2.0,-59,R,26.0,1.0
45843,2,10.0,1.0,-32,M,48.0,30.0
49080,0,3.0,2.0,-79,L,27.0,8.0
50938,4,20.0,1.0,-73,R,38.0,-11.0
58990,2,10.0,1.0,-52,R,100.0,27.0
60887,2,10.0,1.0,-37,M,5.0,30.0
62025,0,12.0,2.0,-70,L,35.0,12.0
62253,0,7.0,2.0,-65,L,67.0,21.0
62808,2,10.0,1.0,-37,M,115.0,-30.0
65671,2,10.0,1.0,-38,M,55.0,23.0
75106,0,14.0,2.0,-75,M,29.0,14.0
75829,3,2.0,3.0,-41,R,152.0,-28.0
76707,0,1.0,3.0,-82,M,7.0,9.0
79041,0,9.0,2.0,-72,L,52.0,28.0
79526,2,10.0,1.0,-36,L,130.0,-30.0
81951,4,10.0,1.0,-78,M,50.0,0.0
82100,2,10.0,1.0,-46,R,6.0,19.0
85971,0,1.0,3.0,-77,,58.0,3.0
90500,1,9.0,2.0,-38,R,58.0,-49.0
91536,0,13.0,3.0,-84,R,28.0,16.0
91866,2,10.0,1.0,-55,L,2.0,-20.0
94891,3,10.0,3.0,-44,L,46.0,37.0
94992,3,5.0,3.0,-53,M,81.0,25.0
98351,2,10.0,1.0,-44,R,144.0,-43.0
98622,3,1.0,3.0,-59,L,27.0,1.0
98658,4,10.0,1.0,-69,M,33.0,12.0
99249,0,2.0,3.0,-68,R,9.0,2.0
100541,2,4.0,1.0,-43,,57.0,4.0
109148,2,10.0,1.0,-30,L,67.0,11.0
110450,0,1.0,3.0,-83,M,34.0,1.0
113875,2,10.0,1.0,-48,L,107.0,30.0
116895,3,9.0,3.0,-50,R,112.0,18.0
120486,3,3.0,3.0,-40,L,91.0,43.0
124018,1,2.0,2.0,-49,R,103.0,26.0
124610,2,10.0,1.0,-34,,50.0,-44.0
125263,2,10.0,1.0,-42,R,54.0,28.0
127891,1,10.0,2.0,-34,L,77.0,28.0
131444,2,10.0,1.0,-35,R,58.0,19.0
133645,1,10.0,2.0,-49,M,46.0,20.0
138093,0,9.0,2.0,-67,M,149.0,9.0
152932,4,10.0,1.0,-60,R,89.0,40.0
160306,4,10.0,1.0,-65,M,38.0,15.0
161195,3,22.0,4.0,-38,M,43.0,32.0
161277,2,10.0,1.0,-53,R,124.0,18.0
163624,2,10.0,1.0,-40,R,7.0,48.0
165247,1,4.0,2.0,-37,R,15.0,47.0
166531,2,10.0,1.0,-49,,125.0,24.0
171505,1,8.0,2.0,-46,L,124.0,33.0
174590,4,4.0,1.0,-92,L,73.0,4.0
177030,3,2.0,3.0,-33,,71.0,2.0
177688,1,9.0,2.0,-32,M,90.0,28.0
178319,2,10.0,1.0,-34,R,74.0,29.0
179578,4,10.0,1.0,-64,R,8.0,17.0
189276,4,9.0,1.0,-61,L,23.0,9.0
195902,2,3.0,1.0,-35,,80.0,3.0
197393,3,15.0,3.0,-32,L,41.0,-27.0
197527,2,10.0,1.0,-33,R,180.0,41.0
203241,2,10.0,1.0,-47,R,175.0,33.0
213875,3,14.0,3.0,-33,,44.0,-2.0
217728,2,10.0,1.0,-34,L,84.0,-32.0
231430,4,10.0,1.0,-61,L,154.0,-10.0
232394,1,7.0,2.0,-35,R,46.0,19.0
232550,1,20.0,2.0,-40,L,25.0,31.0
234027,2,15.0,1.0,-50,R,16.0,26.0
237626,2,10.0,1.0,-41,R,93.0,-18.0
239384,2,10.0,1.0,-30,R,4.0,10.0
240427,1,10.0,2.0,-60,,108.0,-26.0
241397,2,10.0,1.0,-35,R,131.0,25.0
241776,2,10.0,1.0,-53,R,73.0,23.0
242896,4,10.0,1.0,-57,,69.0,3.0
247078,1,14.0,2.0,-50,M,101.0,20.0
247641,3,4.0,3.0,-31,M,84.0,46.0
257457,4,10.0,1.0,-65,,173.0,0.0
266284,0,4.0,2.0,-81,M,112.0,19.0
273733,2,1.0,1.0,-32,L,66.0,1.0
277144,2,10.0,1.0,-53,L,119.0,25.0
277340,0,7.0,2.0,-93,M,103.0,7.0
277602,1,13.0,2.0,-42,R,138.0,48.0
279875,0,8.0,2.0,-83,M,131.0,17.0
285179,4,10.0,1.0,-60,R,117.0,20.0
285937,3,6.0,4.0,-47,,14.0,-44.0
289670,2,15.0,1.0,-32,M,127.0,32.0
296850,4,10.0,1.0,-70,M,17.0,-20.0
301096,1,17.0,2.0,-59,M,95.0,23.0
301412,1,2.0,2.0,-54,L,44.0,24.0
303535,3,5.0,3.0,-46,M,131.0,40.0
309362,2,10.0,1.0,-34,R,19.0,45.0
309646,1,3.0,2.0,-35,L,37.0,25.0
311623,2,10.0,1.0,-36,R,117.0,30.0
314523,1,4.0,2.0,-37,,3.0,4.0
316964,2,10.0,1.0,-37,R,5.0,27.0
319290,4,10.0,1.0,-67,M,89.0,-15.0
327557,2,10.0,1.0,-30,R,72.0,31.0
327697,2,10.0,1.0,-35,R,4.0,35.0
341364,1,4.0,2.0,-36,R,150.0,40.0
342814,2,10.0,1.0,-44,R,125.0,39.0
345222,1,7.0,2.0,-43,R,54.0,-28.0
347777,1,10.0,2.0,-57,,64.0,35.0
351113,2,10.0,1.0,-50,R,25.0,25.0
352407,4,4.0,1.0,-100,,10.0,4.0
364543,2,8.0,1.0,-52,R,37.0,8.0
365203,0,2.0,2.0,-68,L,19.0,2.0
365345,4,10.0,1.0,-62,M,156.0,8.0
365652,3,8.0,3.0,-44,M,40.0,-44.0
367548,1,15.0,2.0,-30,M,196.0,20.0
368872,2,10.0,1.0,-38,L,38.0,35.0
371191,0,1.0,2.0,-73,L,54.0,1.0
371953,4,3.0,1.0,-94,R,57.0,3.0
373445,2,10.0,1.0,-41,M,33.0,-30.0
375302,2,10.0,1.0,-47,R,109.0,20.0
375535,4,10.0,1.0,-67,L,92.0,25.0
376745,2,10.0,1.0,-46,R,170.0,24.0
377474,4,10.0,1.0,-100,R,2.0,-24.0
379473,4,10.0,1.0,-90,M,133.0,10.0
379557,2,10.0,1.0,-33,R,170.0,-40.0
381731,0,2.0,3.0,-78,M,29.0,5.0
382095,2,10.0,1.0,-52,M,7.0,48.0
383529,0,3.0,2.0,-67,L,71.0,3.0
384803,1,10.0,2.0,-61,,60.0,25.0
385412,2,10.0,1.0,-51,L,81.0,31.0
385776,2,10.0,1.0,-38,M,32.0,20.0
386358,2,10.0,1.0,-42,L,2.0,-36.0
392612,1,14.0,2.0,-43,R,54.0,27.0
398125,2,10.0,1.0,-41,L,19.0,30.0
400094,1,9.0,2.0,-39,L,96.0,-36.0
401700,3,9.0,3.0,-33,,62.0,-17.0
402583,2,10.0,1.0,-48,L,68.0,26.0
407008,3,10.0,3.0,-40,L,37.0,-45.0
407927,2,10.0,1.0,-31,R,140.0,31.0
415117,1,14.0,2.0,-37,L,48.0,-30.0
415605,2,10.0,1.0,-37,L,23.0,21.0
416738,3,4.0,3.0,-45,L,50.0,4.0
418185,3,23.0,3.0,-32,L,86.0,-45.0
427330,2,10.0,1.0,-31,R,101.0,37.0
433392,0,15.0,2.0,-94,R,90.0,50.0
435104,2,10.0,1.0,-36,L,159.0,-31.0
436806,2,10.0,1.0,-35,M,97.0,-25.0
438773,4,1.0,1.0,-59,,73.0,1.0
444771,2,10.0,1.0,-55,R,126.0,-22.0
445086,1,10.0,2.0,-35,M,84.0,-45.0
450666,2,10.0,1.0,-44,R,2.0,-31.0
450793,1,3.0,2.0,-40,R,50.0,31.0
451585,2,10.0,1.0,-39,L,19.0,30.0
456446,2,10.0,1.0,-48,R,124.0,-22.0
456527,0,1.0,3.0,-64,R,21.0,1.0
471149,4,17.0,1.0,-66,L,57.0,8.0
473944,2,10.0,1.0,-37,R,43.0,36.0
475569,3,3.0,3.0,-43,R,34.0,5.0
481035,3,2.0,3.0,-38,L,15.0,-43.0
482562,1,10.0,2.0,-51,R,32.0,-18.0
488055,4,10.0,1.0,-81,R,32.0,13.0
490966,4,10.0,1.0,-60,R,114.0,22.0
496358,1,9.0,2.0,-49,M,92.0,-25.0
497438,2,10.0,1.0,-40,M,70.0,-40.0
497710,2,10.0,1.0,-31,L,21.0,-47.0
498142,2,10.0,1.0,-54,L,2.0,-20.0
503472,2,10.0,1.0,-30,L,37.0,10.0
506464,3,1.0,4.0,-63,L,140.0,37.0
510730,4,7.0,1.0,-58,R,34.0,7.0
525340,4,10.0,1.0,-80,L,17.0,20.0
525516,4,10.0,1.0,-82,L,49.0,8.0
539017,3,2.0,3.0,-38,M,96.0,32.0
541979,2,10.0,1.0,-37,R,9.0,43.0
542076,2,10.0,1.0,-44,L,117.0,-48.0
554105,4,10.0,1.0,-60,M,32.0,20.0
554628,0,1.0,2.0,-73,R,28.0,1.0
555309,2,10.0,1.0,-36,L,37.0,49.0
555447,2,5.0,1.0,-42,L,57.0,5.0
556407,0,5.0,3.0,-75,R,115.0,5.0
560702,4,10.0,1.0,-60,R,40.0,27.0
561917,2,10.0,1.0,-37,R,132.0,-18.0
567163,2,10.0,1.0,-39,R,43.0,26.0
571210,1,15.0,2.0,-56,R,131.0,14.0
574872,4,10.0,1.0,-67,R,15.0,-17.0
575646,3,10.0,3.0,-30,R,101.0,42.0
577719,2,10.0,1.0,-37,R,104.0,34.0
580877,2,10.0,1.0,-40,R,8.0,-25.0
582231,0,9.0,2.0,-68,R,126.0,15.0
585038,4,2.0,1.0,-98,L,57.0,2.0
588750,2,7.0,1.0,-31,R,41.0,7.0
589617,2,10.0,1.0,-38,L,2.0,-48.0
593445,3,2.0,3.0,-57,R,164.0,17.0
600963,1,5.0,2.0,-40,M,20.0,-25.0
603924,2,10.0,1.0,-50,M,21.0,-50.0
607791,0,11.0,3.0,-71,R,27.0,13.0
610174,2,10.0,1.0,-54,R,153.0,-20.0
610720,2,10.0,1.0,-40,L,99.0,28.0
611876,1,10.0,2.0,-36,R,69.0,37.0
612048,2,10.0,1.0,-41,M,43.0,-30.0
615938,3,6.0,3.0,-58,R,74.0,21.0
616779,3,1.0,3.0,-45,L,64.0,-38.0
622606,1,4.0,2.0,-47,L,8.0,14.0
623832,3,1.0,4.0,-40,M,13.0,-45.0
625147,0,5.0,2.0,-90,,48.0,5.0
625749,1,22.0,2.0,-43,M,89.0,13.0
628372,3,10.0,3.0,-51,M,155.0,3.0
635433,1,5.0,2.0,-31,R,55.0,48.0
640913,2,10.0,1.0,-43,R,44.0,-47.0
641110,4,10.0,1.0,-74,,142.0,9.0
642575,3,1.0,3.0,-44,M,167.0,25.0
644213,4,10.0,1.0,-56,R,7.0,-20.0
645706,2,10.0,1.0,-40,M,21.0,-40.0
660497,2,3.0,1.0,-51,R,84.0,-25.0
661601,2,10.0,1.0,-35,R,114.0,31.0
666318,3,14.0,3.0,-46,R,54.0,29.0
668218,4,10.0,1.0,-70,,128.0,16.0
670305,0,11.0,2.0,-69,L,84.0,15.0
673578,2,10.0,1.0,-35,L,168.0,39.0
674056,2,10.0,1.0,-30,,44.0,-33.0
675296,0,4.0,3.0,-78,R,83.0,4.0
679344,2,10.0,1.0,-37,M,86.0,33.0
683272,1,5.0,2.0,-33,R,22.0,49.0
686868,0,11.0,2.0,-63,M,118.0,37.0
691777,2,10.0,1.0,-45,,134.0,0.0
692839,3,8.0,3.0,-50,L,165.0,15.0
695410,4,10.0,1.0,-65,M,27.0,15.0
696610,2,10.0,1.0,-43,M,10.0,-44.0
697550,3,6.0,4.0,-35,,173.0,25.0
697832,2,10.0,1.0,-45,R,113.0,28.0
697882,2,10.0,1.0,-46,R,9.0,22.0
704622,4,10.0,1.0,-59,R,53.0,30.0
715054,2,10.0,1.0,-35,L,81.0,-30.0
719866,4,10.0,1.0,-77,R,110.0,-11.0
721181,2,10.0,1.0,-39,R,55.0,-44.0
721384,3,6.0,4.0,-30,R,108.0,-44.0
728736,2,10.0,1.0,-46,M,95.0,2.0
729208,1,7.0,2.0,-43,L,3.0,-35.0
730667,2,10.0,1.0,-35,R,114.0,31.0
731263,1,3.0,2.0,-32,R,92.0,39.0
734180,4,10.0,1.0,-72,L,97.0,0.0
740294,0,8.0,2.0,-84,,108.0,8.0
741714,2,10.0,1.0,-35,R,134.0,5.0
745410,2,10.0,1.0,-38,M,26.0,37.0
748061,2,10.0,1.0,-55,R,128.0,14.0
749405,4,4.0,1.0,-66,L,41.0,4.0
750140,2,10.0,1.0,-31,,58.0,-35.0
753017,2,10.0,1.0,-40,R,116.0,29.0
753305,1,5.0,2.0,-60,L,14.0,-20.0
753986,4,10.0,1.0,-59,M,38.0,-20.0
758774,2,10.0,1.0,-35,L,25.0,-41.0
760457,1,10.0,2.0,-53,L,71.0,20.0
761016,1,11.0,2.0,-43,,63.0,29.0
761819,4,10.0,1.0,-75,L,77.0,25.0
764961,2,10.0,1.0,-42,,7.0,-40.0
767148,1,4.0,2.0,-58,,38.0,22.0
782890,1,15.0,2.0,-42,M,160.0,5.0
785947,4,10.0,1.0,-61,,89.0,-12.0
786318,0,8.0,2.0,-74,,21.0,9.0
787643,3,3.0,3.0,-38,R,31.0,42.0
790158,2,10.0,1.0,-40,L,114.0,20.0
792871,1,1.0,2.0,-55,L,166.0,9.0
792887,4,10.0,1.0,-64,L,56.0,20.0
795381,2,10.0,1.0,-48,L,155.0,30.0
796698,1,15.0,2.0,-32,R,148.0,16.0
796969,0,1.0,2.0,-74,L,125.0,1.0
798443,4,10.0,1.0,-65,,131.0,-20.0
800109,1,6.0,2.0,-34,L,7.0,6.0
801885,0,5.0,3.0,-72,,84.0,11.0
804164,0,2.0,3.0,-78,M,14.0,22.0
804718,1,9.0,2.0,-50,M,42.0,48.0
806292,1,9.0,2.0,-36,L,5.0,34.0
807040,4,1.0,1.0,-59,R,12.0,1.0
808147,0,4.0,3.0,-73,R,118.0,7.0
812052,2,10.0,1.0,-55,R,147.0,20.0
812385,2,10.0,1.0,-49,L,68.0,15.0
813483,4,10.0,1.0,-70,R,162.0,12.0
816614,2,10.0,1.0,-35,R,114.0,31.0
817053,0,2.0,3.0,-96,M,76.0,2.0
818680,2,10.0,1.0,-45,,169.0,-49.0
820419,2,10.0,1.0,-35,L,123.0,47.0
822232,3,4.0,4.0,-33,L,71.0,-36.0
823166,0,1.0,2.0,-64,R,85.0,1.0
823865,4,10.0,1.0,-65,M,21.0,-20.0
824489,2,10.0,1.0,-49,M,71.0,-47.0
827556,3,9.0,3.0,-32,M,122.0,46.0
830413,1,10.0,2.0,-57,M,121.0,3.0
831091,1,5.0,2.0,-30,L,89.0,35.0
837195,4,10.0,1.0,-78,,38.0,2.0
838083,3,10.0,3.0,-39,M,141.0,-47.0
838811,3,1.0,3.0,-41,R,43.0,49.0
842389,2,10.0,1.0,-31,,168.0,33.0
846438,0,1.0,3.0,-99,L,40.0,1.0
853711,1,11.0,2.0,-49,R,189.0,31.0
855641,1,6.0,2.0,-34,M,55.0,36.0
858201,2,10.0,1.0,-40,L,79.0,-40.0
859655,1,2.0,2.0,-39,R,112.0,31.0
872064,0,6.0,3.0,-64,L,23.0,7.0
873551,2,10.0,1.0,-40,L,108.0,-29.0
874573,1,10.0,2.0,-32,R,132.0,-30.0
876863,2,10.0,1.0,-47,,46.0,1.0
881743,2,10.0,1.0,-54,M,36.0,46.0
882588,4,10.0,1.0,-60,R,52.0,20.0
884655,1,6.0,2.0,-36,L,4.0,27.0
887342,4,10.0,1.0,-68,L,94.0,16.0
887398,2,10.0,1.0,-39,M,130.0,35.0
890601,3,1.0,3.0,-40,M,45.0,49.0
891551,2,10.0,1.0,-39,R,32.0,-28.0
892708,0,9.0,3.0,-91,M,36.0,9.0
895085,2,10.0,1.0,-32,M,83.0,15.0
902113,1,13.0,2.0,-45,L,156.0,30.0
909125,3,3.0,3.0,-36,,87.0,33.0
913476,2,10.0,1.0,-40,R,5.0,-30.0
913969,4,10.0,1.0,-62,M,9.0,-20.0
914991,3,13.0,3.0,-32,R,90.0,38.0
916168,2,10.0,1.0,-41,L,35.0,-41.0
917402,4,4.0,1.0,-66,M,31.0,4.0
918713,1,4.0,2.0,-47,R,44.0,42.0
922736,4,10.0,1.0,-95,R,99.0,5.0
924968,4,10.0,1.0,-60,R,141.0,20.0
930675,1,10.0,2.0,-58,R,10.0,15.0
932300,0,5.0,4.0,-95,L,110.0,5.0
933423,1,10.0,2.0,-30,,157.0,12.0
939487,2,10.0,1.0,-43,L,31.0,26.0
940720,0,5.0,3.0,-82,M,143.0,13.0
941444,2,10.0,1.0,-33,L,44.0,7.0
941896,2,10.0,1.0,-33,M,25.0,-33.0
945998,2,10.0,1.0,-48,M,34.0,22.0
950067,1,11.0,2.0,-35,M,72.0,31.0
952041,1,3.0,2.0,-57,R,166.0,20.0
960296,4,10.0,1.0,-85,L,59.0,-6.0
961792,2,10.0,1.0,-51,L,147.0,14.0
963375,3,13.0,3.0,-39,L,92.0,31.0
963526,2,10.0,1.0,-45,R,78.0,24.0
965216,1,3.0,2.0,-47,L,76.0,19.0
968962,1,13.0,2.0,-40,L,57.0,18.0
969342,1,4.0,2.0,-39,L,14.0,-38.0
969537,4,10.0,1.0,-57,R,190.0,23.0
970694,3,1.0,3.0,-35,R,99.0,48.0
971270,2,10.0,1.0,-44,L,78.0,35.0
974129,2,10.0,1.0,-50,L,44.0,-30.0
977188,2,10.0,1.0,-30,R,105.0,41.0
979775,3,4.0,3.0,-55,R,151.0,4.0
983954,2,10.0,1.0,-36,L,74.0,-46.0
984356,4,10.0,1.0,-85,M,20.0,0.0
987067,1,4.0,2.0,-31,R,157.0,39.0
987320,1,10.0,2.0,-60,L,118.0,-1.0
992953,4,2.0,1.0,-94,M,111.0,2.0
994295,4,8.0,1.0,-66,,44.0,8.0
994522,4,7.0,1.0,-93,L,131.0,7.0
994722,0,10.0,2.0,-63,R,32.0,12.0
996038,1,13.0,2.0,-39,L,116.0,-32.0
996545,1,8.0,2.0,-39,R,135.0,39.0
997422,2,10.0,1.0,-31,M,92.0,9.0
999598,2,10.0,1.0,-45,L,6.0,-26.0
